caller_id,receiver_id,start_time,duration_sec,call_type,sim_id,device_id,location_origin,country_origin,location_dest,country_dest,is_night_call,transaction_status,fraud_type
3211281536,3037163426,2025-05-31 16:09:56,293,local,SIM007367,DEV02445,Kampala,UG,Johannesburg,ZA,0,Genuine,none
6322161221,7891405286,2025-05-31 16:09:56,213,international,SIM013788,DEV00050,Cairo,EG,Lagos,NG,0,Genuine,none
9817588945,2131701684,2025-05-31 16:09:56,191,international,SIM010409,DEV08742,Lagos,NG,Lagos,NG,0,Genuine,none
7187231493,7356618128,2025-05-31 16:09:56,14,international,SIM001431,DEV02109,Nairobi,KE,Addis Ababa,ET,0,Fraudulent,sim_box_fraud
3892030047,8530188712,2025-05-31 16:09:56,166,international,SIM015017,DEV07134,Cairo,EG,Addis Ababa,ET,0,Genuine,none
5900515428,1931309611,2025-05-31 16:09:56,181,local,SIM003288,DEV07400,Addis Ababa,ET,Cairo,EG,0,Genuine,none
8865059017,5839704882,2025-05-31 16:09:56,257,local,SIM002715,DEV09798,Accra,GH,Lagos,NG,0,Genuine,none
3541040919,4178107411,2025-05-31 16:09:56,840,local,SIM012889,DEV02482,Lagos,NG,Lagos,NG,0,Genuine,none
9126027463,5856202921,2025-05-31 16:09:56,778,local,SIM015068,DEV03964,Addis Ababa,ET,Lagos,NG,0,Genuine,none
9882638648,9198838793,2025-05-31 16:09:56,10,local,SIM000848,DEV02921,Kampala,UG,Johannesburg,ZA,0,Genuine,none
3044369811,2046057042,2025-05-31 16:09:56,88,local,SIM006084,DEV08868,Cairo,EG,Addis Ababa,ET,0,Fraudulent,call_masking
3268683909,9666604601,2025-05-31 16:09:56,450,local,SIM006141,DEV01971,Accra,GH,Lagos,NG,0,Genuine,none
3128954499,3226277647,2025-05-31 16:09:56,14,international,SIM_FAKE_954,DEV03244,Accra,GH,Accra,GH,0,Fraudulent,subscription_fraud
2166627541,3139481508,2025-05-31 16:09:56,97,international,SIM019074,DEV07797,Lagos,NG,Accra,GH,0,Genuine,none
7902245228,1585121134,2025-05-31 16:09:56,222,local,SIM_FAKE_538,DEV03433,Nairobi,KE,Johannesburg,ZA,0,Fraudulent,subscription_fraud
3949298337,3592681631,2025-05-31 16:09:56,21,local,SIM006941,DEV01355,Johannesburg,ZA,Johannesburg,ZA,0,Genuine,none
5698647887,5162098371,2025-05-31 16:09:56,42,local,SIM012129,DEV05477,Lagos,NG,Cairo,EG,0,Fraudulent,call_masking
8133162777,5533999205,2025-05-31 16:09:56,26,local,SIM016494,DEV01095,Addis Ababa,ET,Addis Ababa,ET,0,Fraudulent,random_fraud
4736890370,1450960030,2025-05-31 16:09:56,14,international,SIM018443,DEV09226,Kampala,UG,Accra,GH,0,Fraudulent,sim_box_fraud
9187212135,2485401770,2025-05-31 16:09:56,272,international,SIM018593,DEV06470,Addis Ababa,ET,Kampala,UG,0,Fraudulent,call_masking
9086011539,6378940618,2025-05-31 16:09:56,164,international,SIM017689,DEV03217,Lagos,NG,Nairobi,KE,0,Genuine,none
9043854009,9761629398,2025-05-31 16:09:56,386,local,SIM003121,DEV00620,Lagos,NG,Addis Ababa,ET,0,Fraudulent,random_fraud
3941117453,9259329864,2025-05-31 16:09:56,75,international,SIM001759,DEV01874,Kampala,UG,Johannesburg,ZA,0,Genuine,none
5317935960,2847746013,2025-05-31 16:09:56,233,international,SIM009709,DEV01871,Accra,GH,Johannesburg,ZA,0,Genuine,none
8659932639,4585354836,2025-05-31 16:09:56,10,local,SIM018856,DEV00632,Nairobi,KE,Johannesburg,ZA,0,Genuine,none
4817627942,1470391877,2025-05-31 16:09:56,154,local,SIM015858,DEV05942,Addis Ababa,ET,Addis Ababa,ET,0,Genuine,none
